V,H,S,M
0.401812221,0.636363636,0.6,5
0.369002517,0.909090909,0.6,5
0.362839599,0.363636364,0.2,5
0.320241334,0.818181818,0.2,5
0.446283622,0,0.8,5
0.391177902,0.272727273,0.8,5
0.378156758,0.545454545,0.8,5
0.319939085,0.818181818,0.8,5
0.519636836,0.090909091,0.4,5
0.398791077,0.363636364,0.4,5
0.34743163,0.636363636,0.4,5
0.323262478,0.909090909,0.4,5
0.444108237,0.181818182,1,5
0.353473918,0.454545455,1,5
0.36253735,0.727272727,1,5
0.314199046,1,1,5
